query,doc_url,language,relevant,annotator
চেয়ার,https://www.prothomalo.com/bangladesh/district/esv0e7fmz3,bn,no,Maroof Ahmed
চেয়ার,https://www.prothomalo.com/bangladesh/yxbrwe5q0y,bn,no,Maroof Ahmed
চেয়ার,https://www.prothomalo.com/bangladesh/easj8csqc2,bn,no,Maroof Ahmed
চেয়ার,https://www.prothomalo.com/bangladesh/district/p6fcaiwshl,bn,no,Maroof Ahmed
চেয়ার,https://www.prothomalo.com/opinion/column/46tl43t2u3,bn,no,Maroof Ahmed
চেয়ার,https://www.prothomalo.com/entertainment/hollywood/3qzep07kqv,bn,no,Maroof Ahmed
বাংলাদেশ কৃষি সমস্যা,https://www.dhakapost.com/national/424942,bn,yes,Maroof Ahmed
বাংলাদেশ কৃষি সমস্যা,https://www.newagebd.net/post/opinion/288572/time-for-vertical-farming,en,yes,Maroof Ahmed
বাংলাদেশ কৃষি সমস্যা,https://www.newagebd.net/post/opinion/287986/making-agriculture-pay,en,yes,Maroof Ahmed
বাংলাদেশ কৃষি সমস্যা,https://www.thedailystar.net/business/news/potato-paradox-just-another-curry-rice-plate-will-not-solve-price-problem-4067431,en,yes,Maroof Ahmed
বাংলাদেশ কৃষি সমস্যা,https://www.thedailystar.net/business/news/bangladesh-holds-just-001-global-potato-market-4057516,en,yes,Maroof Ahmed
বাংলাদেশ কৃষি সমস্যা,https://www.thedailystar.net/business/news/bangladeshs-farm-success-comes-cost-prof-anu-muhammad-4084081,en,yes,Maroof Ahmed
বাংলাদেশ কৃষি সমস্যা,https://www.prothomalo.com/opinion/editorial/x8ubv1w26v,bn,yes,Maroof Ahmed
বাংলাদেশ কৃষি সমস্যা,https://www.prothomalo.com/technology/artificial-intelligence/5i3wujujb1,bn,no,Maroof Ahmed
বাংলাদেশ কৃষি সমস্যা,https://www.newagebd.net/post/opinion/287985/data-gap-starves-farming-promise,en,yes,Maroof Ahmed
বাংলাদেশ কৃষি সমস্যা,https://www.thedailystar.net/news/farm-success-comes-heavy-cost-anu-muhammad-4084501,en,yes,Maroof Ahmed
বেকারত্ব বাংলাদেশ,https://www.prothomalo.com/chakri/chakri-news/dnbf16bkdd,bn,yes,Maroof Ahmed
বেকারত্ব বাংলাদেশ,https://www.prothomalo.com/business/economics/x7yrtxyaf3,bn,yes,Maroof Ahmed
বেকারত্ব বাংলাদেশ,https://www.prothomalo.com/chakri/chakri-news/wei16j88me,bn,yes,Maroof Ahmed
বেকারত্ব বাংলাদেশ,https://www.banglatribune.com/sport/football/930411/%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%82%E0%A6%95%E0%A6%95%E0%A7%87-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6-%E0%A6%A6%E0%A6%B2-%E0%A6%A5%E0%A7%87%E0%A6%95%E0%A7%87-%E0%A6%B8%E0%A6%B9-%E0%A6%85%E0%A6%A7%E0%A6%BF%E0%A6%A8%E0%A6%BE%E0%A7%9F%E0%A6%95%E0%A6%95%E0%A7%87-%E0%A6%AC%E0%A6%B9%E0%A6%BF%E0%A6%B7%E0%A7%8D%E0%A6%95%E0%A6%BE%E0%A6%B0-%C2%A0,bn,no,Maroof Ahmed
বেকারত্ব বাংলাদেশ,https://www.prothomalo.com/bangladesh/kdx4cazvra,bn,no,Maroof Ahmed
বেকারত্ব বাংলাদেশ,https://www.prothomalo.com/sports/cricket/okh5fvuql4,bn,no,Maroof Ahmed
বেকারত্ব বাংলাদেশ,https://www.prothomalo.com/chakri/employment/9rmjtdwns1,bn,yes,Maroof Ahmed
বেকারত্ব বাংলাদেশ,https://www.prothomalo.com/business/bank/3cgjt1u1bj,bn,no,Maroof Ahmed
বেকারত্ব বাংলাদেশ,https://www.prothomalo.com/sports/cricket/rnib93rgap,bn,no,Maroof Ahmed
বেকারত্ব বাংলাদেশ,https://www.prothomalo.com/education/campus/op7jwb06ay,bn,no,Maroof Ahmed
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,https://www.newagebd.net/post/cricket/287425/icc-willing-to-address-concerns-about-playing-t20-world-cup-in-india-bcb-,en,no,Maroof Ahmed
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,https://www.thedailystar.net/news/bangladesh/politics/news/bnp-collects-nomination-forms-khaleda-tarique-bogura-4063231,en,yes,Maroof Ahmed
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,https://www.thedailystar.net/news/bangladesh/politics/news/nomination-forms-collected-khaleda-tarique-bogura-4063596,en,yes,Maroof Ahmed
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,https://www.dhakatribune.com/sport/cricket/401287/pcb-backs-bangladesh-may-rethink-t20-world-cup,en,no,Maroof Ahmed
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,https://www.daily-sun.com/politics/852591/ec-biased-towards-bnp-ncp-reconsidering-joining-polls-asif-mahmud,en,yes,Maroof Ahmed
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,https://www.thedailystar.net/news/bangladesh/news/media-convention-2026-begins-dhaka-calls-unity-defend-press-freedom-4082916,en,no,Maroof Ahmed
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,https://www.newagebd.net/post/cricket/287060/bcci-arm-twisted-into-removing-mustafiz-from-ipl-former-indian-cricketer,en,no,Maroof Ahmed
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,https://nagorik.prothomalo.com/reader/wtmgatzr6x,bn,yes,Maroof Ahmed
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,https://www.newagebd.net/post/banking/287752/ab-bank-holds-strategic-session-for-dhaka-region,en,no,Maroof Ahmed
বাংলাদেশ ২০২৬ নির্বাচনের আলোচনা,https://www.newagebd.net/post/country/288432/media-convention-2026-begins,en,no,Maroof Ahmed
কক্সবাজার শরণার্থী শিবির আগুন,https://www.prothomalo.com/bangladesh/district/nr806bvdw7,bn,yes,Maroof Ahmed
কক্সবাজার শরণার্থী শিবির আগুন,https://www.newagebd.net/post/country/288333/fire-guts-26-rooms-in-gazipur,en,no,Maroof Ahmed
কক্সবাজার শরণার্থী শিবির আগুন,https://www.prothomalo.com/bangladesh/district/pd42bazicm,bn,yes,Maroof Ahmed
কক্সবাজার শরণার্থী শিবির আগুন,https://bangla.bdnews24.com/world/f5b41f9d04ae,bn,no,Maroof Ahmed
কক্সবাজার শরণার্থী শিবির আগুন,https://www.prothomalo.com/opinion/letter/m1b7muurwu,bn,no,Maroof Ahmed
কক্সবাজার শরণার্থী শিবির আগুন,https://www.prothomalo.com/bangladesh/district/6o4nzmgzb1,bn,yes,Maroof Ahmed
কক্সবাজার শরণার্থী শিবির আগুন,https://www.prothomalo.com/bangladesh/district/003c4m5qsg,bn,no,Maroof Ahmed
কক্সবাজার শরণার্থী শিবির আগুন,https://www.prothomalo.com/bangladesh/district/nz8i7cc07x,bn,no,Maroof Ahmed
কক্সবাজার শরণার্থী শিবির আগুন,https://www.prothomalo.com/bangladesh/district/yj21gbcsqd,bn,no,Maroof Ahmed
কক্সবাজার শরণার্থী শিবির আগুন,https://www.prothomalo.com/bangladesh/district/egr27w54r2,bn,no,Maroof Ahmed
নর্সিংদি ভূমিকম্প,https://www.newagebd.net/post/europe/288574/quake-hits-northeast-sicily-no-damage-reported,en,no,Maroof Ahmed
নর্সিংদি ভূমিকম্প,https://www.prothomalo.com/opinion/column/ws2wqv8cga,bn,no,Maroof Ahmed
নর্সিংদি ভূমিকম্প,https://www.prothomalo.com/bangladesh/district/9hidu28w5t,bn,no,Maroof Ahmed
নর্সিংদি ভূমিকম্প,https://www.prothomalo.com/world/middle-east/0asm0lx45p,bn,no,Maroof Ahmed
নর্সিংদি ভূমিকম্প,https://www.newagebd.net/post/asia/287382/no-major-damage-reported-from-strong-japan-quake,en,no,Maroof Ahmed
নর্সিংদি ভূমিকম্প,https://bangla.bdnews24.com/world/db74eb4b941f,bn,no,Maroof Ahmed
নর্সিংদি ভূমিকম্প,https://www.prothomalo.com/bangladesh/district/w78fvaepk2,bn,no,Maroof Ahmed
নর্সিংদি ভূমিকম্প,https://www.prothomalo.com/sports/duz0ltdyio,bn,no,Maroof Ahmed
নর্সিংদি ভূমিকম্প,https://www.prothomalo.com/bangladesh/lghfskb3jq,bn,no,Maroof Ahmed
নর্সিংদি ভূমিকম্প,https://www.prothomalo.com/bangladesh/capital/0jil180mp7,bn,no,Maroof Ahmed
বাংলাদেশে মুদ্রাস্ফীতি,https://www.newagebd.net/post/opinion/288446/living-with-inflation,en,yes,Maroof Ahmed
বাংলাদেশে মুদ্রাস্ফীতি,https://www.newagebd.net/post/Economy/287238/inflation-rises-for-2nd-month-in-dec,en,yes,Maroof Ahmed
বাংলাদেশে মুদ্রাস্ফীতি,https://www.prothomalo.com/business/bank/9pubwjzlwb,bn,yes,Maroof Ahmed
বাংলাদেশে মুদ্রাস্ফীতি,https://www.prothomalo.com/business/bank/aquc63qsj0,bn,yes,Maroof Ahmed
বাংলাদেশে মুদ্রাস্ফীতি,https://www.prothomalo.com/business/economics/thaiw73nsl,bn,yes,Maroof Ahmed
বাংলাদেশে মুদ্রাস্ফীতি,https://www.prothomalo.com/business/bank/mlrdz0y5s4,bn,yes,Maroof Ahmed
বাংলাদেশে মুদ্রাস্ফীতি,https://www.newagebd.net/post/banking/287735/bank-sector-remains-economys-weak-pillar-cpd,en,yes,Maroof Ahmed
বাংলাদেশে মুদ্রাস্ফীতি,https://www.prothomalo.com/business/bank/mgvgf0ktn7,bn,yes,Maroof Ahmed
বাংলাদেশে মুদ্রাস্ফীতি,https://www.prothomalo.com/business/bank/8itsyosbe6,bn,yes,Maroof Ahmed
বাংলাদেশে মুদ্রাস্ফীতি,https://www.newagebd.net/post/economy/288193/wb-cuts-growth-forecast-to-4.6pc-for-fy26,en,yes,Maroof Ahmed
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,https://www.newagebd.net/post/opinion/288147/ai-in-job-market,en,no,Maroof Ahmed
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,https://www.dhakapost.com/economy/424944,bn,yes,Maroof Ahmed
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,https://www.thedailystar.net/opinion/views/open-dialogue/news/proactive-steps-can-future-proof-jobs-the-ai-era-4083451,en,no,Maroof Ahmed
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,https://www.newagebd.net/post/country/288131/more-than-50-workers-of-two-rmg-factories-in-tongi-suddenly-fall-sick,en,yes,Maroof Ahmed
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,https://www.prothomalo.com/chakri/chakri-news/jp1axyy2xn,bn,no,Maroof Ahmed
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,https://www.prothomalo.com/bangladesh/district/9hidu28w5t,bn,no,Maroof Ahmed
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,https://www.prothomalo.com/opinion/editorial/x14pnoc37p,bn,yes,Maroof Ahmed
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,https://www.thedailystar.net/opinion/rmg-notes/news/its-time-talk-about-cotton-2119321,en,yes,Maroof Ahmed
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,https://www.prothomalo.com/chakri/chakri-news/621hw2u6uc,bn,no,Maroof Ahmed
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি,https://www.prothomalo.com/business/economics/x7yrtxyaf3,bn,no,Maroof Ahmed
উন্নয়ন,https://www.banglatribune.com/business/news/918905/%E0%A6%AC%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%8B%E0%A6%97-%E0%A6%AC%E0%A6%BE%E0%A6%A3%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%AF-%E0%A6%93-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%9A%E0%A7%80%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%89%E0%A6%A4%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%A8,bn,yes,Maroof Ahmed
উন্নয়ন,https://www.prothomalo.com/bangladesh/rw8strogu7,bn,yes,Maroof Ahmed
উন্নয়ন,https://www.prothomalo.com/bangladesh/district/h7gu2wkoje,bn,no,Maroof Ahmed
উন্নয়ন,https://www.banglatribune.com/national/930438/%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A6%BE%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%BE-%E0%A6%89%E0%A6%AA%E0%A6%A6%E0%A7%87%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A7%87-%E0%A6%9A%E0%A7%80%E0%A6%A8%E0%A6%BE-%E0%A6%B0%E0%A6%BE%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A6%A6%E0%A7%82%E0%A6%A4%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A7%88%E0%A6%A0%E0%A6%95,bn,yes,Maroof Ahmed
উন্নয়ন,https://www.prothomalo.com/business/economics/55w4x7ocyn,bn,yes,Maroof Ahmed
উন্নয়ন,https://www.prothomalo.com/opinion/column/7sbteb9aev,bn,yes,Maroof Ahmed
উন্নয়ন,https://www.prothomalo.com/bangladesh/5bbmr2gs06,bn,yes,Maroof Ahmed
উন্নয়ন,https://www.prothomalo.com/business/economics/0515yleckr,bn,yes,Maroof Ahmed
উন্নয়ন,https://www.prothomalo.com/religion/hindu/qwshhgfqb2,bn,no,Maroof Ahmed
উন্নয়ন,https://www.dhakapost.com/national/424942,bn,yes,Maroof Ahmed
climate change impact in Bangladesh,https://www.prothomalo.com/opinion/column/t9yrg0mtfv,bn,no,Maroof Ahmed
climate change impact in Bangladesh,https://www.dhakapost.com/economy/424856,bn,no,Maroof Ahmed
climate change impact in Bangladesh,https://www.dhakapost.com/national/424942,bn,no,Maroof Ahmed
climate change impact in Bangladesh,https://www.prothomalo.com/technology/science/n2hifjgmtx,bn,yes,Maroof Ahmed
climate change impact in Bangladesh,https://www.prothomalo.com/business/economics/thaiw73nsl,bn,no,Maroof Ahmed
climate change impact in Bangladesh,https://www.thedailystar.net/opinion/interviews/news/climate-finance-needs-be-demand-driven-not-designed-donor-capitals-3959646,en,yes,Maroof Ahmed
climate change impact in Bangladesh,https://www.prothomalo.com/opinion/column/46uhvyzhqx,bn,no,Maroof Ahmed
climate change impact in Bangladesh,https://www.prothomalo.com/bangladesh/h9gco7ke6s,bn,no,Maroof Ahmed
climate change impact in Bangladesh,https://www.banglatribune.com/foreign/asia/915577/%E0%A6%A6%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BF%E0%A6%A3-%E0%A6%8F%E0%A6%B6%E0%A6%BF%E0%A7%9F%E0%A6%BE-%E0%A6%95%E0%A6%BF-%E0%A6%9C%E0%A7%87%E0%A6%A8-%E0%A6%9C%E0%A6%BF-%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A7%8D%E0%A6%B2%E0%A6%AC%E0%A7%87%E0%A6%B0-%E0%A6%89%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%B0-%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A7%87%E0%A6%A4%E0%A7%8D%E0%A6%B0,bn,no,Maroof Ahmed
climate change impact in Bangladesh,https://www.thedailystar.net/news/how-climate-change-could-be-making-your-migraines-worse-4078261,en,yes,Maroof Ahmed
Bangladesh economy growth,https://www.prothomalo.com/business/economics/thaiw73nsl,bn,yes,Maroof Ahmed
Bangladesh economy growth,https://www.prothomalo.com/politics/7s1nxf2qgt,bn,yes,Maroof Ahmed
Bangladesh economy growth,https://www.banglatribune.com/business/news/918905/%E0%A6%AC%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%8B%E0%A6%97-%E0%A6%AC%E0%A6%BE%E0%A6%A3%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%AF-%E0%A6%93-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AF%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87-%E0%A6%9A%E0%A7%80%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%89%E0%A6%A4%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%A8,bn,yes,Maroof Ahmed
Bangladesh economy growth,https://www.prothomalo.com/business/economics/pjou4svbpw,bn,yes,Maroof Ahmed
Bangladesh economy growth,https://www.prothomalo.com/opinion/column/2tn4dswpvh,bn,yes,Maroof Ahmed
Bangladesh economy growth,https://www.newagebd.net/post/country/287259/democracy-crucial-for-economic-growth-business-leaders,en,yes,Maroof Ahmed
Bangladesh economy growth,https://www.prothomalo.com/bangladesh/rw8strogu7,bn,yes,Maroof Ahmed
Bangladesh economy growth,https://www.prothomalo.com/business/bank/9834p02p4u,bn,yes,Maroof Ahmed
Bangladesh economy growth,https://www.prothomalo.com/business/economics/sw0zgunlky,bn,yes,Maroof Ahmed
Bangladesh economy growth,https://www.banglatribune.com/foreign/asia/930583/%E0%A6%9A%E0%A7%80%E0%A6%A8%E0%A7%87-%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AE%E0%A6%B9%E0%A6%BE%E0%A6%B0%E0%A7%87-%E0%A6%B0%E0%A7%87%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%A1-%E0%A6%A7%E0%A6%B8-%E0%A6%9F%E0%A6%BE%E0%A6%A8%E0%A6%BE-%E0%A6%9A%E0%A6%A4%E0%A7%81%E0%A6%B0%E0%A7%8D%E0%A6%A5-%E0%A6%AC%E0%A6%9B%E0%A6%B0-%E0%A6%95%E0%A6%AE%E0%A6%B2%E0%A7%8B,bn,no,Maroof Ahmed
Dhaka traffic congestion,https://www.thedailystar.net/news/bangladesh/news/students-block-science-lab-2nd-straight-day-demanding-central-university-ordinance-4081626,en,yes,Maroof Ahmed
Dhaka traffic congestion,https://www.dhakapost.com/national/425019,bn,yes,Maroof Ahmed
Dhaka traffic congestion,https://www.prothomalo.com/bangladesh/capital/e7d7q1vawx,bn,yes,Maroof Ahmed
Dhaka traffic congestion,https://www.newagebd.net/post/Country/288139/dhaka-dwellers-suffer-as-students-block-roads-at-five-points,en,yes,Maroof Ahmed
Dhaka traffic congestion,https://www.prothomalo.com/bangladesh/capital/fb4wh9n19t,bn,yes,Maroof Ahmed
Dhaka traffic congestion,https://www.prothomalo.com/photo/bangladesh/7ios1iy5up,bn,yes,Maroof Ahmed
Dhaka traffic congestion,https://www.prothomalo.com/bangladesh/1ihmmzwwwv,bn,yes,Maroof Ahmed
Dhaka traffic congestion,https://www.newagebd.net/post/editorial/287770/illegal-occupation-of-roads-footpaths-must-stop,en,yes,Maroof Ahmed
Dhaka traffic congestion,https://www.newagebd.net/post/Country/288227/people-suffer-as-7-college-students-block-roads-again,en,yes,Maroof Ahmed
Dhaka traffic congestion,https://www.prothomalo.com/bangladesh/environment/zsn7d19k34,bn,no,Maroof Ahmed
unemployment in Bangladesh,https://www.prothomalo.com/bangladesh/district/eyrhzkbdr3,bn,no,Maroof Ahmed
unemployment in Bangladesh,https://www.prothomalo.com/chakri/chakri-news/dnbf16bkdd,bn,yes,Maroof Ahmed
unemployment in Bangladesh,https://www.prothomalo.com/politics/jep1w9emoi,bn,no,Maroof Ahmed
unemployment in Bangladesh,https://www.prothomalo.com/business/economics/x7yrtxyaf3,bn,yes,Maroof Ahmed
unemployment in Bangladesh,https://www.prothomalo.com/religion/islam/44txizw557,bn,no,Maroof Ahmed
unemployment in Bangladesh,https://www.prothomalo.com/bangladesh/03d5xasy6a,bn,yes,Maroof Ahmed
unemployment in Bangladesh,https://www.prothomalo.com/chakri/chakri-news/wei16j88me,bn,yes,Maroof Ahmed
unemployment in Bangladesh,https://www.prothomalo.com/technology/gadget/ljkp0wviim,bn,no,Maroof Ahmed
unemployment in Bangladesh,https://www.banglatribune.com/foreign/asia/922258/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6-%E0%A6%9A%E0%A7%80%E0%A6%A8-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A7%87-%E0%A6%A8%E0%A6%A4%E0%A7%81%E0%A6%A8-%E0%A6%A6%E0%A6%BF%E0%A6%97%E0%A6%A8%E0%A7%8D%E0%A6%A4-%E0%A6%96%E0%A7%81%E0%A6%B2%E0%A6%A4%E0%A7%87-%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%87,bn,no,Maroof Ahmed
