query,engine,language,rank,title,url,relevant
আগুন নর্সিংদি,bing,bn,1,"নরসিংদীতে টেক্সটাইল মিলে আগুন, দেড় ঘণ্টা পর আগুন নিয়ন্ত্রণে",https://www.ajkerpatrika.com/bangladesh/narsingdi/ajpkprpe70sm4,yes
আগুন নর্সিংদি,duckduckgo,bn,1,"নরসিংদীর মাধবদী বাজারে আগুন, পুড়ে ছাই অর্ধশতাধিক দোকান",https://bangla.bdnews24.com/samagrabangladesh/c13598e47fa9,yes
ভূমিকম্প,google,bn,1,সর্বশেষ ভূমিকম্প,https://live8.bmd.gov.bd/bn/p/Latest-Earthquake-136,yes
ভূমিকম্প,bing,bn,1,ভূমিকম্প,https://www.prothomalo.com/topic/bhumikampo,yes
ভূমিকম্প,duckduckgo,bn,1,আজকের ভূমিকম্পের খবর বাংলাদেশ,https://prothomsangbad.com/topic/earthquake-update/,yes
বাংলাদেশে মুদ্রাস্ফীতি,google,bn,1,খবর,https://bbs.gov.bd/pages/news,no
বাংলাদেশে মুদ্রাস্ফীতি,bing,bn,1,মুদ্রাস্ফীতি,https://bn.wikipedia.org/wiki/mudrasphiti,yes
বাংলাদেশে মুদ্রাস্ফীতি,duckduckgo,bn,1,মুদ্রাস্ফীতি কী? অর্থনীতিতে এর কেমন প্রভাব পড়ে?,https://www.bbc.com/bengali/articles/c4nr21n7x4po,yes
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি উন্নয়ন,google,bn,1,বাংলাদেশের তৈরি পোশাক (RMG) খাত,https://www.facebook.com/texlabshishir/posts/rmg-sector,yes
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি উন্নয়ন,bing,bn,1,বাংলাদেশের পোশাক শ্রমিকদের জীবনমান উন্নয়ন,https://workerdiaries.org/garment-workers-bd/,yes
আরএমজি শিল্পে শ্রমাধিকারের ঝুঁকি উন্নয়ন,duckduckgo,bn,1,সম্মিলিত সহযোগিতায় আরএমজি সেক্টর ভবিষ্যতে বিশ্বের শীর্ষস্থানীয় শিল্প,https://dhakagazette24.com/2025/11/05/rmg-sector-cooperation/,yes
climate change impact in Bangladesh,google,en,1,Climate Displacement and Land Access: Lessons from Bangladesh,https://aidmi.org/blog/climate-displacement-and-land-access-lessons-from-bangladesh/,yes
climate change impact in Bangladesh,bing,en,1,Climate change impacts in Bangladesh,https://icccad.net/wp-content/uploads/2024/02/Bangladesh_Final.pdf,yes
climate change impact in Bangladesh,duckduckgo,en,1,How the Climate Crisis Is Impacting Bangladesh,https://www.climaterealityproject.org/blog/how-climate-crisis-impacting-bangladesh,yes
Bangladesh economy growth,google,en,1,"Project Messenger (NPSA-1), AVC-III Project",https://estm.fa.em2.oraclecloud.com/hcmUI/job/31401,no
Bangladesh economy growth,bing,en,1,GDP growth (annual %) - Bangladesh,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=BD,yes
Bangladesh economy growth,duckduckgo,en,1,GDP growth (annual %) - Bangladesh,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=BD,yes
Dhaka traffic congestion,google,en,1,"Traffic Problems in Dhaka City: Causes, Effects, and Solutions",https://www.scirp.org/journal/paperinformation?paperid=124756,yes
Dhaka traffic congestion,bing,en,1,Trapped in Dhaka's traffic: How to overcome this crisis?,https://www.thedailystar.net/opinion/views/news/trapped-dhakas-traffic-how-overcome-crisis-3722041,yes
Dhaka traffic congestion,duckduckgo,en,1,Trapped in Dhaka's traffic: How to overcome this crisis?,https://www.thedailystar.net/opinion/views/news/trapped-dhakas-traffic-how-overcome-crisis-3722041,yes
unemployment in Bangladesh,google,en,1,Understanding the dynamics of unemployment in Bangladesh,https://www.dhakatribune.com/opinion/longform/392743/understanding-the-dynamics-of-unemployment-in,yes
unemployment in Bangladesh,bing,en,1,Unemployment rises,https://www.thedailystar.net/news/bangladesh/news/unemployment-rate-climbs-3792721,yes
unemployment in Bangladesh,duckduckgo,en,1,Why unemployment is increasing,https://www.dhakatribune.com/bangladesh/346441/why-unemployment-is-increasing,yes
Bangladesh interim government reforms,google,en,1,Reforms by the interim government,https://cao.portal.gov.bd/sites/default/files/Reforms_Interim_Government.pdf,yes
Bangladesh interim government reforms,bing,en,1,Yunus charts a path to reforms,https://www.thedailystar.net/news/bangladesh/news/yunus-charts-path-reforms-3700751,yes
Bangladesh interim government reforms,duckduckgo,en,1,Can Bangladesh Really Reform?,https://www.cfr.org/articles/can-bangladesh-really-reform,yes
Rohingya refugee crisis in Bangladesh,google,en,1,Rohingya Refugee Relief,https://www.naharrelief.org/appeals/rohingya-appeal/,yes
Rohingya refugee crisis in Bangladesh,bing,en,1,Rohingya crisis,https://www.unicef.org/emergencies/rohingya-crisis,yes
Rohingya refugee crisis in Bangladesh,duckduckgo,en,1,Rohingya crisis,https://www.unicef.org/emergencies/rohingya-crisis,yes
Bangladesh earthquake preparedness,google,en,1,Earthquake Preparedness Tips - U.S. Embassy in Bangladesh,https://bd.usembassy.gov/earthquake-preparedness-tips/,no
Bangladesh earthquake preparedness,bing,en,1,Bangladesh Earthquake Risks: Urgent Steps for Safer Future,https://inside-bangladesh.com/bangladesh-earthquake-risks/,yes
Bangladesh earthquake preparedness,duckduckgo,en,1,The Latest Earthquake Was a Warning Sign: Bangladesh Isn't Ready,https://thediplomat.com/2025/12/bangladesh-isnt-ready/,yes
Bangladesh garment worker heat stress,google,en,1,Managing heat stress among Bangladesh ready-made clothing industry workers,https://wellcome.org/research-funding/funded-grants/managing-heat-stress-bangladesh/,yes
Bangladesh garment worker heat stress,bing,en,1,Bangladesh: Extreme Heat Threatens the Lives and Livelihoods of Workers,https://cri.org/bangladesh-extreme-heat/,yes
Bangladesh garment worker heat stress,duckduckgo,en,1,"""My Body Is Burning"": Extreme Heat and Labor Rights in Bangladesh",https://cri.org/reports/my-body-is-burning/,yes
Bangladesh T20 World Cup security concerns,google,en,1,"T20 World Cup row: Bangladesh says ICC, Indian govt made no effort",https://timesofindia.indiatimes.com/sports/cricket/t20-world-cup-row/articleshow/127158858.cms,yes
Bangladesh T20 World Cup security concerns,bing,en,1,Bangladesh Boycotts T20 World Cup Over Security Concerns in India,https://gulfnews.com/sport/cricket/bangladesh-boycotts-t20-wc-1.500417151,yes
Bangladesh T20 World Cup security concerns,duckduckgo,en,1,Bangladesh Boycotts T20 World Cup Over Security Concerns in India,,yes
Bangladesh quantum computing research,google,en,1,Quantum Computing BD Research Community,https://www.facebook.com/groups/quantumbd/,no
Bangladesh quantum computing research,bing,en,1,NSU Center for Quantum Computing: Bangladesh enters a new era,https://www.tbsnews.net/features/pursuit/nsu-center-quantum-computing-1194211,yes
Bangladesh quantum computing research,duckduckgo,en,1,NSU Center for Quantum Computing: Bangladesh enters a new era,https://www.tbsnews.net/features/pursuit/nsu-center-quantum-computing-1194211,yes
